year,name,value,gdp01,gdp02,gdp03
1961,四川,109,24.3,15.58,12.4
1960,四川,107,21.7,22.83,11.39
1959,四川,120,31.09,21.66,10.41
1958,四川,119,34.18,18.18,9.37
1957,四川,111,36.87,11.63,8.07
1956,四川,100,32.03,10.51,7.2
1955,四川,88,27.33,9.13,6.76
1954,四川,83,25.9,7.83,6.27
1953,四川,76,23.42,6.11,6.14
1952,四川,69,21.18,4.55,5.96
2013,贵州,22921.67,1029.05,3243.7,3734.04
2012,贵州,19710,891.91,2677.54,3282.75
2011,贵州,16413,726.22,2194.33,2781.29
2010,贵州,13119,625.03,1800.06,2177.07
2009,贵州,10309,550.27,1476.62,1885.79
2008,贵州,8824,547.85,1408.71,1376.84
2007,贵州,6915,446.38,1148.27,1147.25
2006,贵州,5787,393.17,980.78,908.05
2005,贵州,5051.96,368.94,826.63,783.49
2004,贵州,4215,334.11,714.66,543.13
2003,贵州,3603,298.37,579.31,478.43
2002,贵州,3153,280.83,474.68,429.53
2001,贵州,2895.2902,274.17,419.74,390.99
2000,贵州,2661.5571,270.99,387.85,334.69
1999,贵州,2475.3042,267.57,348.59,295.7
1998,贵州,2364,264.89,326.03,250.96
1997,贵州,2215,271.83,293.47,227.68
1996,贵州,2048,260.56,257.82,201.45
1995,贵州,1826,227.13,232.52,176.56
1994,贵州,1527,183.52,195.76,141.89
1993,贵州,1234,133.41,155.03,129.25
1992,贵州,1034,121.18,122.08,96.65
1991,贵州,896,115.71,101.54,78.65
1990,贵州,810,100.1,92.83,67.21
1989,贵州,750,92.88,86.74,56.22
1988,贵州,683,85.2,78.63,47.96
1987,贵州,546,66.46,60.11,38.93
1986,贵州,467,56.46,50.96,32.15
1985,贵州,420,50.45,49.88,23.59
1984,贵州,371,45.73,43.51,19.03
1983,贵州,302,37.76,33.14,16.48
1982,贵州,278,37.37,27.44,14.58
1981,贵州,242,29.9,24.95,13.04
1980,贵州,219,24.86,24,11.4
1979,贵州,204,23.29,22.41,9.58
1978,贵州,175,19.42,18.73,8.47
1977,贵州,144,18.07,13.5,6.15
1976,贵州,110,16.94,8,4.36
1975,贵州,124,16.16,9.46,5.48
1974,贵州,101,14.52,5.79,4.17
1973,贵州,119,15.62,8.2,4.57
1972,贵州,129,13.55,11.9,4.17
1971,贵州,145,15.93,12.06,4.3
1970,贵州,132,15.15,9.56,3.65
1969,贵州,102,13.82,4.33,2.97
1968,贵州,108,14.16,4.2,3.02
1967,贵州,125,15.91,4.66,3.42
1966,贵州,134,14.9,6.04,3.84
1965,贵州,136,15.25,5.63,3.53
1964,贵州,114,13.07,3.74,2.94
1963,贵州,100,11.13,2.97,2.7
1962,贵州,100,11.01,2.93,2.58
1961,贵州,110,9.19,5.17,3.69
1960,贵州,135,8.6,9.49,4.85
1959,贵州,136,10.05,9.01,4.45
1958,贵州,120,10.5,6.02,3.84
1957,贵州,99,9.73,3.49,3.08
1956,贵州,91,8.87,3.25,2.53
1955,贵州,74,7.28,2.35,1.98
1954,贵州,72,7.19,2.19,1.76
1953,贵州,66,6.47,1.97,1.57
1952,贵州,58,5.85,1.59,1.11
2013,云南,25083,1895.34,4927.82,4897.75
2012,云南,22195,1654.55,4419.2,4235.72
2011,云南,19265,1411.01,3780.32,3701.79
2010,云南,15752,1108.38,3223.49,2892.31
2009,云南,13539,1067.6,2582.53,2519.62
2008,云南,12587,1020.94,2451.09,2228.07
2007,云南,10540,837.35,2051.08,1852.88
2006,云南,8970,749.81,1712.6,1544.31
2005,云南,7835,669.81,1432.76,1370.32
2004,云南,6733,604.33,1314.19,1040.96
2003,云南,5662,502.84,1069.29,893.16
2002,云南,5179,470.5,951.48,810.34
2001,云南,4866,450.54,881.49,742.68
2000,云南,4636.6504,436.26,843.24,675.59
1999,云南,4452.2444,412.17,825.12,618.45
1998,云南,4446,408.43,828.37,557.1
1997,云南,4042,391.48,750.01,502.74
1996,云南,3779,364.27,672.82,454.53
1995,云南,3083,302.69,534.78,384.68
1994,云南,2515,237.51,429.66,306.8
1993,云南,2030,191.45,325.57,266.25
1992,云南,1622,186.8,219.03,212.86
1991,云南,1377,169.48,179.56,168.37
1990,云南,1224,168.13,157.8,125.74
1989,云南,1003,119.01,138.06,105.98
1988,云南,845,103.47,112.4,85.22
1987,云南,653,84.06,84.3,60.67
1986,云南,529,71.32,70.83,40.13
1985,云南,486,66.07,65.41,33.48
1984,云南,417,57.33,54.38,27.87
1983,云南,363,49.33,47.28,23.46
1982,云南,339,47.04,42.39,20.69
1981,云南,294,41.23,35.8,17.1
1980,云南,267,35.89,33.98,14.4
1979,云南,247,32.38,30.5,13.95
1978,云南,226,29.46,27.58,12.01
1977,云南,187,24.36,21.45,10.03
1976,云南,169,25.7,14.96,8.61
1975,云南,190,26.34,19.12,8.83
1974,云南,186,24.29,18.98,8.51
1973,云南,202,27.23,18.85,8.49
1972,云南,188,24.84,16.89,7.77
1971,云南,171,21.99,14.57,6.91
1970,云南,156,18.87,13.38,6.27
1969,云南,144,18.63,10.01,5.7
1968,云南,114,17.36,4.74,4.41
1967,云南,151,18.49,10.17,5.52
1966,云南,166,18.37,12.18,5.84
1965,云南,158,17.31,11.01,5.3
1964,云南,142,16.18,8.19,4.88
1963,云南,129,14.01,7.11,4.51
1962,云南,127,13.64,6.55,4.31
1961,云南,121,11.16,7.28,4.46
1960,云南,134,8.83,10.5,6.1
1959,云南,133,9,10.01,6.34
1958,云南,122,9.57,7.99,5.65
1957,云南,121,12.47,5.43,4.63
1956,云南,117,11.6,5.11,4.62
1955,云南,103,10.44,4.13,3.77
1954,云南,97,9.92,3.57,3.54
1953,云南,87,8.87,2.88,3.11
1952,云南,70,7.27,1.82,2.69
2013,西藏,26068,86.82,292.92,427.93
2012,西藏,22936,80.38,242.85,377.8
2011,西藏,20077,74.47,208.79,322.57
2010,西藏,17319,68.72,163.92,274.82
2009,西藏,15295,63.88,136.63,240.85
2008,西藏,13861,60.51,115.76,219.64
2007,西藏,12109,54.89,98.48,188.82
2006,西藏,10430,50.9,80.1,160.01
2005,西藏,9114,48.04,63.52,139.65
2004,西藏,7779,43.33,57.61,110.6
2003,西藏,6871,40.62,47.99,95.89
2002,西藏,6093,39.68,32.93,88.81
2001,西藏,5307,37.47,32.18,69.08
2000,西藏,4558.6991,36.32,27.214,53.93
1999,西藏,4261.7328,34.19,24,47.42
1998,西藏,3666,31.31,20.24,39.63
1997,西藏,3194,29.18,16.95,30.85
1996,西藏,2688,27.15,11.39,26.22
1995,西藏,2358,23.48,13.24,19.39
1994,西藏,1964,21.1,7.92,16.82
1993,西藏,1624,18.3,5.49,13.63
1992,西藏,1468,16.59,4.46,12.24
1991,西藏,1358,15.5,4.17,10.86
1990,西藏,1276,14.1,3.57,10.03
1989,西藏,1021,10.04,2.84,8.98
1988,西藏,964,9.65,2.41,8.19
1987,西藏,863,8.07,2.13,7.51
1986,西藏,842,7.95,2.18,6.82
1985,西藏,894,8.87,3.08,5.81
1984,西藏,702,6.38,2.8,4.5
1983,西藏,538,5.5,2.59,2.2
1982,西藏,544,5.82,2.09,2.3
1981,西藏,560,6.3,1.68,2.42
1980,西藏,471,4.64,2.18,1.85
1979,西藏,404,3.5,2.02,1.78
1978,西藏,375,3.37,1.84,1.44
1977,西藏,0,0,0,0
1976,西藏,0,0,0,0
1975,西藏,0,0,0,0
1974,西藏,0,0,0,0
1973,西藏,0,0,0,0
1972,西藏,0,0,0,0
1971,西藏,0,0,0,0
1970,西藏,0,0,0,0
1969,西藏,0,0,0,0
1968,西藏,0,0,0,0
1967,西藏,0,0,0,0
1966,西藏,0,0,0,0
1965,西藏,0,0,0,0
1964,西藏,0,0,0,0
1963,西藏,0,0,0,0
1962,西藏,0,0,0,0
1961,西藏,0,0,0,0
1960,西藏,0,0,0,0
1959,西藏,0,0,0,0
1958,西藏,0,0,0,0
1957,西藏,0,0,0,0
1956,西藏,0,0,0,0
1955,西藏,0,0,0,0
1954,西藏,0,0,0,0
1953,西藏,0,0,0,0
1952,西藏,0,0,0,0
2013,陕西,42692,1526.05,8911.64,5607.52
2012,陕西,38564,1370.16,8073.87,5009.65
2011,陕西,33464,1220.9,6935.59,4355.81
2010,陕西,27133,988.45,5446.1,3688.93
2009,陕西,21688,789.64,4236.42,3143.74
2008,陕西,18246,753.72,3842.08,2255.52
2007,陕西,14607,592.63,2964.56,1908.6
2006,陕西,12138,488.48,2440.5,1594.76
2005,陕西,9899,435.77,1849.28,1390.61
2004,陕西,7757,394.98,1416.82,1071.71
2003,陕西,6480,320.03,1133.56,944.99
2002,陕西,5523,303.79,925.78,806.39
2001,陕西,5024,287.24,816.34,740.69
2000,陕西,4549.2194,279.12,731.9,649.9
1999,陕西,4101.4888,267.51,641.9,578.2
1998,陕西,4070,283.49,567.66,530.38
1997,陕西,3707,271.52,555.86,498.66
1996,陕西,3446,262.74,475.01,437.63
1995,陕西,2965,217.27,441.67,377.91
1994,陕西,2424,181.78,336.46,298.34
1993,陕西,1981,148.24,297.49,232.47
1992,陕西,1571,116.71,232.07,182.85
1991,陕西,1402,116.88,197.54,153.95
1990,陕西,1241,105.56,166.95,131.79
1989,陕西,1124,91.28,158.5,108.59
1988,陕西,1004,82.69,138.58,93.21
1987,陕西,794,67.84,108.2,68.92
1986,陕西,688,58,93.48,56.83
1985,陕西,604,53.39,81.96,45.52
1984,陕西,504,51.05,63.12,35.18
1983,陕西,420,40,55.15,28.24
1982,陕西,385,37.02,50.36,24.57
1981,陕西,356,35.4,46.25,20.44
1980,陕西,334,28.47,47.74,18.7
1979,陕西,336,32.52,44.67,17.33
1978,陕西,291,24.7,42.13,14.24
1977,陕西,256,24.09,33.88,12.02
1976,陕西,233,23.78,27.75,11.41
1975,陕西,243,23.76,29.87,11.29
1974,陕西,236,23.24,27.74,11.05
1973,陕西,231,22.17,26.73,10.73
1972,陕西,229,20.78,27.18,9.8
1971,陕西,234,22.72,25.86,9.08
1970,陕西,196,18.89,20.42,7.53
1969,陕西,175,17,16.01,7.72
1968,陕西,124,14.84,7.03,6.24
1967,陕西,166,16.85,12.23,7.76
1966,陕西,187,16.59,15.97,7.91
1965,陕西,169,17.51,11.78,6.64
1964,陕西,141,13.33,9.44,6.57
1963,陕西,135,13.09,8.12,6.15
1962,陕西,135,13.35,7.3,6.2
1961,陕西,162,15.61,8.38,7.65
1960,陕西,200,12.59,17.17,8.54
1959,陕西,192,12.73,14.93,7.92
1958,陕西,171,13.48,10.83,6.71
1957,陕西,144,13.17,6.06,6.35
1956,陕西,156,14.92,6.52,5.7
1955,陕西,122,11.43,4.85,4.3
1954,陕西,123,12.34,3.73,3.97
1953,陕西,111,11.03,2.84,3.57
1952,陕西,85,8.4,1.92,2.53
2013,甘肃,24296,879.37,2821.04,2567.6
2012,甘肃,21978,780.5,2600.09,2269.61
2011,甘肃,19595,678.75,2377.83,1963.79
2010,甘肃,16113,599.28,1984.97,1536.5
2009,甘肃,12872,497.05,1527.24,1363.27
2008,甘肃,12110,463,1471.43,1241.68
2007,甘肃,10346,385.97,1279.32,1037.11
2006,甘肃,8757,333.35,1043.19,900.16
2005,甘肃,7476.5293,308.06,838.56,787.36
2004,甘肃,5970,281.4,758.18,519.35
2003,甘肃,5021.6324,236.61,607.62,460.37
2002,甘肃,4493,214.45,530.36,416.62
2001,甘肃,4163.3574,207.05,481.07,384.39
2000,甘肃,3838.2514,193.36,439.88,350.12
1999,甘肃,3667.7686,191.21,423.79,316.98
1998,甘肃,3541,202.21,382,285.54
1997,甘肃,3137,189.79,343.4,248.15
1996,甘肃,2946,187.81,314.96,211.41
1995,甘肃,2316,110.65,256.83,190.28
1994,甘肃,1921,103.81,199.32,148.53
1993,甘肃,1600,87.43,159.96,124.85
1992,甘肃,1384,74.2,128.66,114.93
1991,甘肃,1204,66.55,111.91,92.93
1990,甘肃,1099,64.06,98.33,80.41
1989,甘肃,1007,59.01,91.79,66.04
1988,甘肃,905,52.77,81.33,57.74
1987,甘肃,764,45.27,68.4,45.85
1986,甘肃,684,38.02,65.27,37.45
1985,甘肃,608,33.08,58.81,31.5
1984,甘肃,515,27.83,49.98,25.36
1983,甘肃,462,27.65,42.92,20.93
1982,甘肃,393,19.68,38.54,18.66
1981,甘肃,367,17.63,35.3,17.96
1980,甘肃,388,16.46,39.85,17.59
1979,甘肃,359,12.89,40.98,13.64
1978,甘肃,348,13.21,39.04,12.48
1977,甘肃,318,13.51,35.28,9.93
1976,甘肃,309,13.55,34.43,8.47
1975,甘肃,318,14.34,33.85,9.18
1974,甘肃,279,13.39,28.27,7.93
1973,甘肃,252,10.96,25.43,7.46
1972,甘肃,243,9.88,24.7,6.59
1971,甘肃,231,8.33,24.62,4.92
1970,甘肃,218,8.28,21.05,5.17
1969,甘肃,178,7.91,15,4.37
1968,甘肃,157,7.95,11.7,3.72
1967,甘肃,160,6.77,11.92,4.39
1966,甘肃,174,6.78,13.08,4.37
1965,甘肃,186,7.74,12.74,4.5
1964,甘肃,152,6.88,8.65,4.13
1963,甘肃,130,6.66,5.85,3.74
1962,甘肃,101,5.15,3.9,3.52
1961,甘肃,97,4.7,3.76,3.29
1960,甘肃,143,4.57,8.91,4.34
1959,甘肃,183,7.59,10.21,5.93
1958,甘肃,178,9.26,8.07,5.48
1957,甘肃,160,9.65,5.63,4.83
1956,甘肃,174,11.22,5.08,4.87
1955,甘肃,154,10.51,3.75,3.56
1954,甘肃,146,10.43,2.44,3.43
1953,甘肃,126,8.87,1.8,3.19
1952,甘肃,125,8.66,1.73,2.93
2013,青海,36510,207.59,1204.31,689.15
2012,青海,33181,176.91,1092.34,624.29
2011,青海,29522,155.08,975.18,540.18
2010,青海,24115,134.92,744.63,470.88
2009,青海,19454,107.4,575.33,398.54
2008,青海,17389,105.58,529.4,326.55
2007,青海,14257,83.41,417.78,282.42
2006,青海,11762,69.64,331.16,240.78
2005,青海,10044.7403,65.34,264.61,213.37
2004,青海,8606,57.81,227.06,180.86
2003,青海,7277,46.15,184.26,159.8
2002,青海,6426,44.9,154.01,142.2
2001,青海,5734.5655,42.79,132.18,125.98
2000,青海,5087.1369,38.53,114,111.06
1999,青海,4662.4291,40.54,97.88,99.97
1998,青海,4426,41.63,88.42,90.11
1997,青海,4066,40.65,78.8,82.6
1996,青海,3799,39.46,71.52,72.59
1995,青海,3513,39.62,64.58,63.6
1994,青海,2942,31.71,58.35,48.18
1993,青海,2364,22.21,48.13,39.34
1992,青海,1912,19.9,36.31,31.31
1991,青海,1647,17.96,29.84,27.3
1990,青海,1558,17.67,26.89,25.38
1989,青海,1365,15.73,25.29,19.35
1988,青海,1260,14.36,23.3,17.3
1987,青海,1018,11.74,16.61,15.03
1986,青海,916,10.47,15.4,12.57
1985,青海,808,8.64,13.39,10.98
1984,青海,662,7.35,10.15,8.92
1983,青海,569,5.9,8.98,7.57
1982,青海,513,5.56,8.03,6.36
1981,青海,459,4.63,7.23,5.63
1980,青海,473,5,7.83,4.96
1979,青海,410,3.97,7.44,3.78
1978,青海,428,3.67,7.71,4.16
1977,青海,371,3.84,5.88,3.41
1976,青海,356,4.57,4.56,3.11
1975,青海,371,4.64,4.76,3.02
1974,青海,361,4.66,4.31,2.79
1973,青海,352,4.35,4.11,2.62
1972,青海,341,4.11,3.71,2.52
1971,青海,320,3.63,3.4,2.29
1970,青海,303,3.36,2.79,2
1969,青海,262,3.35,1.79,1.89
1968,青海,246,2.98,1.56,1.81
1967,青海,281,3.65,1.57,1.73
1966,青海,270,3.12,1.64,1.66
1965,青海,271,3.36,1.28,1.5
1964,青海,257,3.12,1.04,1.41
1963,青海,232,2.66,0.85,1.35
1962,青海,218,2.17,0.82,1.6
1961,青海,233,2.12,1.24,2.04
1960,青海,300,1.89,3.22,2.57
1959,青海,284,1.93,3.03,1.98
1958,青海,225,1.9,1.59,1.38
1957,青海,193,2.13,0.78,1.04
1956,青海,199,1.9,1,0.91
1955,青海,164,1.84,0.51,0.58
1954,青海,138,1.67,0.24,0.44
1953,青海,106,1.24,0.2,0.3
1952,青海,101,1.2,0.12,0.31
2013,宁夏,39420,222.98,1264.96,1077.12
2012,宁夏,36394,199.4,1159.37,982.52
2011,宁夏,33043,184.14,1056.15,861.92
2010,宁夏,26860,159.29,827.91,702.45
2009,宁夏,21777,127.25,662.32,563.74
2008,宁夏,17892,120,581.24,397.27
2007,宁夏,14649,97.89,451.82,339.49
2006,宁夏,11847,79.54,349.83,281.39
2005,宁夏,10239,72.08,281.23,252.79
2004,宁夏,7880,65.13,239.42,155.8
2003,宁夏,6691,55.5,192,137.84
2002,宁夏,5804,52.84,151.16,125.28
2001,宁夏,5340,49.57,134.37,114.44
2000,宁夏,4839.1035,45.95,120.04,99.58
1999,宁夏,4472.6168,48.01,102.68,90.8
1998,宁夏,4607,48.69,94.01,84.76
1997,宁夏,4025,44.82,87.65,78.45
1996,宁夏,3926,43.24,79.74,70.64
1995,宁夏,3448,35.41,74.67,65.1
1994,宁夏,2740,29.93,55.78,48.26
1993,宁夏,2148,20.84,45.61,38.04
1992,宁夏,1718,18.31,34.05,30.78
1991,宁夏,1511,17.9,27.77,26.1
1990,宁夏,1393,16.84,25.34,22.66
1989,宁夏,1317,14.8,24.39,20.02
1988,宁夏,1143,13.39,19.74,17.16
1987,宁夏,922,10.44,15.77,13.42
1986,宁夏,823,10.36,12.97,11.2
1985,宁夏,737,8.9,12.12,9.25
1984,宁夏,615,7.82,9.46,7.49
1983,宁夏,525,6.62,7.87,6.29
1982,宁夏,469,5.66,7.02,5.54
1981,宁夏,460,5.47,6.97,4.97
1980,宁夏,433,4.26,7.27,4.42
1979,宁夏,399,3.41,7.36,3.58
1978,宁夏,370,3.06,6.6,3.33
1977,宁夏,354,2.93,6.25,2.95
1976,宁夏,333,2.72,5.6,2.78
1975,宁夏,374,3.35,5.9,2.81
1974,宁夏,365,3.47,5.32,2.61
1973,宁夏,296,2.4,4.15,2.41
1972,宁夏,302,2.69,3.84,2.3
1971,宁夏,288,2.7,3.35,2.07
1970,宁夏,241,2.07,2.71,1.74
1969,宁夏,225,2.31,2.14,1.41
1968,宁夏,202,2.23,1.68,1.15
1967,宁夏,228,2.62,1.63,1.22
1966,宁夏,234,2.42,1.64,1.35
1965,宁夏,211,2.24,1.24,1.18
1964,宁夏,194,1.98,0.97,1.14
1963,宁夏,195,2.06,0.85,1.05
1962,宁夏,200,2.32,0.75,0.95
1961,宁夏,199,2.12,0.86,1.17
1960,宁夏,227,1.52,1.99,1.29
1959,宁夏,217,1.82,1.34,1.2
1958,宁夏,176,1.84,0.65,0.8
1957,宁夏,147,1.8,0.22,0.56
1956,宁夏,152,1.91,0.18,0.48
1955,宁夏,138,1.71,0.17,0.36
1954,宁夏,138,1.68,0.15,0.31
1953,宁夏,115,1.31,0.11,0.26
1952,宁夏,126,1.43,0.08,0.22
2013,新疆,37181,1468.29,3765.97,3125.98
2012,新疆,33796,1320.57,3481.56,2703.18
2011,新疆,30087,1139.03,3225.9,2245.12
2010,新疆,25034,1078.63,2592.15,1766.69
2009,新疆,19942,759.74,1929.59,1587.72
2008,新疆,19893,691.1,2086.74,1425.57
2007,新疆,16999,628.72,1647.55,1246.89
2006,新疆,15000,527.8,1459.3,1058.16
2005,新疆,13108,509.99,1164.79,929.41
2004,新疆,11199,444.7,1010.07,745.38
2003,新疆,9700,412.9,796.84,667.87
2002,新疆,8382,305,672.1,621.18
2001,新疆,7913,288.12,630.37,566.99
2000,新疆,7469.8056,288.18,586.84,489.34
1999,新疆,6469.7317,268.51,460.71,439.33
1998,新疆,6174,291.05,430.73,394.89
1997,新疆,5904,279.73,413.29,357.12
1996,新疆,5102,249.31,336.89,325.95
1995,新疆,4701,240.71,283.97,290.17
1994,新疆,3888,187.69,265.38,220.61
1993,新疆,2964,126.85,205.07,163.33
1992,新疆,2477,114.5,147.64,140.17
1991,新疆,2101,111.86,107.99,116.07
1990,新疆,1713,104.09,83.18,74.17
1989,新疆,1493,78.01,73.83,65.45
1988,新疆,1347,72.27,66.02,54.43
1987,新疆,1053,56.18,50.3,42.03
1986,新疆,924,46,45.63,37.41
1985,新疆,820,42.89,40.5,28.85
1984,新疆,661,36.67,31.65,21.42
1983,新疆,583,32.84,29.1,16.61
1982,新疆,488,28.11,23.35,13.78
1981,新疆,450,25.18,22.39,11.83
1980,新疆,410,21.53,21.44,10.28
1979,新疆,359,16.32,21.43,7.88
1978,新疆,313,13.97,18.35,6.75
1977,新疆,293,13.1,16.52,6.05
1976,新疆,266,12.35,14.01,5.42
1975,新疆,240,11.21,12.2,4.71
1974,新疆,222,10.25,10.15,4.65
1973,新疆,226,10.72,9.27,4.67
1972,新疆,232,10.79,8.97,4.63
1971,新疆,258,11.41,9.96,4.76
1970,新疆,236,10.35,8.67,4.06
1969,新疆,211,9.26,6.9,3.69
1968,新疆,219,9.21,6.77,3.81
1967,新疆,259,10.91,7.51,4.03
1966,新疆,325,13.81,8.17,4.81
1965,新疆,312,12.48,7.32,4.4
1964,新疆,292,11.29,6.29,3.97
1963,新疆,267,9.79,5.66,3.56
1962,新疆,249,8.26,6.11,3.35
1961,新疆,305,8.21,9.11,4.13
1960,新疆,374,9.27,11.06,4.87
1959,新疆,344,8.73,8.48,4.16
1958,新疆,294,8.8,4.72,3.39
1957,新疆,267,7.88,3.82,2.97
1956,新疆,268,7.51,3.71,2.87
1955,新疆,241,6.7,3.22,2.4
1954,新疆,211,6.26,2.7,1.58
1953,新疆,179,5.51,2.1,1.13
1952,新疆,166,5.12,1.74,1.05
